word	occu	freq-per-mill	usual	rank	racio
estridente	1	322.16	11.38	53786	28.31
ouçor	1	322.16	64.81	OFV	4.97
faz-me	1	322.16	28.66	34891	11.24
área	1	322.16	5216.48	189	0.06
Diga	1	322.16	175.29	21205	1.84
verdade	1	322.16	2909.51	341	0.11
lia	1	322.16	64.44	15515	5.00
surpreendente	1	322.16	165.05	6056	1.95
chegado	1	322.16	29.26	6888	11.01
vinhr	1	322.16	93.38	OFV	3.45
desde	1	322.16	5327.65	185	0.06
infantário	1	322.16	12.07	82826	26.68
primário	1	322.16	117.03	7188	2.75
Unidos	1	322.16	108.64	647	2.97
dinâmica	1	322.16	292.08	3421	1.10
grupo	1	322.16	3988.83	248	0.08
inteiro	1	322.16	264.08	1942	1.22
longo	1	322.16	2540.01	391	0.13
sair	1	322.16	216.93	843	1.49
décimo	1	322.16	109.23	9152	2.95
dividiu-se	1	322.16	12.67	78921	25.43
percurso	1	322.16	310.78	3215	1.04
escolar	1	322.16	518.75	1925	0.62
vejo-os	1	322.16	4.05	246642	79.46
cumprimento	1	322.16	390.37	2559	0.83
existir	1	322.16	1880.76	3158	0.17
amizade	1	322.16	350.67	2849	0.92
sem	1	322.16	13037.81	74	0.02
abordar	1	322.16	145.59	6866	2.21
maneira	1	322.16	2704.90	367	0.12
negativo	1	322.16	193.70	4406	1.66
...	1	322.16	17035.78	56	0.02
primeiro	1	322.16	6422.61	153	0.05
filho	1	322.16	1690.05	500	0.19
atenção	1	322.16	1902.23	523	0.17
quanto	1	322.16	3806.62	260	0.08
importar	1	322.16	52.73	9627	6.11
connosco	1	322.16	86.73	11527	3.71
hábito	1	322.16	274.67	4575	1.17
reguar	1	322.16	1.00	OFV	322.17
sentido	1	322.16	1993.22	499	0.16
disciplina	1	322.16	448.89	2225	0.72
severo	1	322.16	61.42	26017	5.25
assim	1	322.16	8354.22	117	0.04
suscitar	1	322.16	22.32	33415	14.43
amor	1	322.16	2780.09	357	0.12
leitura	1	322.16	1035.52	963	0.31
jeito	1	322.16	754.89	1322	0.43
certo	1	322.16	293.45	573	1.10
composição	1	322.16	135.20	2242	2.38
mandar	1	322.16	37.10	4301	8.68
agrupamento	1	322.16	63.39	15772	5.08
quadro	1	322.16	272.28	1472	1.18
cortiça	1	322.16	37.31	26802	8.64
Gostei	1	322.16	418.11	5125	0.77
ouvir	1	322.16	186.82	1356	1.72
voltarmos	1	322.16	29.23	34203	11.02
sortudo	1	322.16	39.30	25441	8.20
nisso	1	322.16	339.48	2943	0.95
lotar	1	322.16	12.00	47934	26.85
compreensivo	1	322.16	10.76	46844	29.94
genti	1	322.16	32.43	207219	9.93
envolver	1	322.16	376.12	5985	0.86
disponível	1	322.16	893.89	972	0.36
tratar	1	322.16	32.77	1900	9.83
mal	1	322.16	1456.24	684	0.22
nenhum	1	322.16	1129.05	624	0.29
feliz	1	322.16	1047.45	952	0.31
onda	1	322.16	334.37	2988	0.96
figura	1	322.16	491.96	2030	0.65
ídolo	1	322.16	80.53	12415	4.00
ensinou-me	1	322.16	9.48	105491	33.99
tecnologia	1	322.16	1506.70	661	0.21
Lembro-me	1	322.16	59.96	16674	5.37
adorávar	1	322.16	5.27	OFV	61.09
canal	1	322.16	683.67	1460	0.47
Histórias	1	322.16	723.22	11084	0.45
anteriormente	1	322.16	355.66	2809	0.91
exemplo	1	322.16	4334.63	228	0.07
seio	1	322.16	113.93	8775	2.83
vivíamos	1	322.16	15.85	63090	20.33
jantar	1	322.16	488.83	2043	0.66
juntar	1	322.16	2.87	4861	112.44
acendíamos	1	322.16	1.00	OFV	322.17
ficávamos	1	322.16	16.39	60997	19.65
conversar	1	322.16	294.06	3398	1.10
tio	1	322.16	50.91	6525	6.33
confortável	1	322.16	388.55	2571	0.83
sentar	1	322.16	127.59	7884	2.53
carpete	1	322.16	56.72	17629	5.68
frente	1	322.16	2795.64	355	0.12
brinquedo	1	322.16	205.65	9524	1.57
tão	1	322.16	4593.48	215	0.07
naturalmente	1	322.16	267.33	3738	1.21
gente	1	322.16	3208.21	309	0.10
semana	1	322.16	724.27	286	0.44
esperar	1	322.16	242.91	1819	1.33
porquê	1	322.16	194.34	5143	1.66
surpresa	1	322.16	404.42	2470	0.80
ninguém	1	322.16	1267.91	786	0.25
mesa	1	322.16	750.92	1329	0.43
cheio	1	322.16	422.71	2035	0.76
doce	1	322.16	239.19	2657	1.35
reuner	1	322.16	42.04	OFV	7.66
antecipação	1	322.16	84.63	11814	3.81
ansiedade	1	322.16	280.14	3567	1.15
meia-noite	1	322.16	68.21	14658	4.72
presente	1	322.16	933.10	408	0.35
forma	1	322.16	10341.26	94	0.03
compartilhar	1	322.16	416.03	2401	0.77
chamávamos	1	322.16	10.20	98031	31.58
O	1	322.16	114942.53	28	0.00
construir	1	322.16	305.00	1859	1.06
liso	1	322.16	88.55	11290	3.64
ali	1	322.16	997.31	1000	0.32
patamar	1	322.16	127.72	7827	2.52
criar	1	322.16	472.43	513	0.68
formado	1	322.16	368.50	2711	0.87
rede	1	322.16	2042.07	487	0.16
floresta	1	322.16	246.20	4059	1.31
saída	1	322.16	720.10	1386	0.45
corredorzinho	1	322.16	1.00	OFV	322.17
árvore	1	322.16	303.24	3295	1.06
expostas	1	322.16	98.29	10171	3.28
usávamos	1	322.16	10.99	91019	29.32
pesado	1	322.16	184.10	5429	1.75
gordinho	1	322.16	26.94	37114	11.96
decidir	1	322.16	484.80	2923	0.66
enquanto	1	322.16	3428.18	289	0.09
topo	1	322.16	329.85	3029	0.98
meter	1	322.16	48.28	8492	6.67
falso	1	322.16	156.21	6399	2.06
tropeçar	1	322.16	15.24	42560	21.14
bater	1	322.16	170.08	3809	1.89
cair	1	322.16	396.87	2644	0.81
imediatamente	1	322.16	463.46	2155	0.70
estressar	1	322.16	15.40	64951	20.93
imediato	1	322.16	315.99	3162	1.02
correr	1	322.16	401.17	2490	0.80
procura	1	322.16	851.28	1172	0.38
encontrar	1	322.16	2001.20	497	0.16
olhar	1	322.16	72.54	1037	4.44
sangrar	1	322.16	26.33	37977	12.24
certeza	1	322.16	1379.88	722	0.23
morto	1	322.16	343.68	2907	0.94
dobro	1	322.16	134.94	7408	2.39
peso	1	322.16	1125.24	886	0.29
