word,occu,freq-per-mill,usual,rank,racio
correr,1006,1006.04,401.17,2490,2.51
eles,1006,1006.04,6464.12,152,0.16
qualidade,1006,1006.04,191.84,246,5.24
corrida,1006,1006.04,154.42,1956,6.51
divertidíssimo,1006,1006.04,11.52,86807,87.33
som,1006,1006.04,682.27,1463,1.47
sabor,1006,1006.04,365.8,2731,2.75
transporte,1006,1006.04,971.16,1027,1.04
aplicar,1006,1006.04,21.4,2652,47.0
cara,1006,1006.04,1208.17,825,0.83
banho,1006,1006.04,558.13,1789,1.8
vivo,1006,1006.04,233.88,1152,4.3
carinho,1006,1006.04,418.81,2385,2.4
Gostavas,1006,1006.04,4.02,248965,250.47
experiência,1006,1006.04,2458.81,404,0.41
escolar,1006,1006.04,518.75,1925,1.94
estar,1006,1006.04,4154.55,238,0.24
iniciativa,1006,1006.04,731.15,1365,1.38
próprio,1006,1006.04,2546.47,385,0.4
forte,1006,1006.04,1608.49,619,0.63
incutir,1006,1006.04,3.79,53354,265.24
rotina,1006,1006.04,428.87,2329,2.35
estudo,1006,1006.04,1909.49,521,0.53
estrutura,1006,1006.04,1224.44,814,0.82
acreditar,1006,1006.04,421.82,2705,2.39
menos,1006,1006.04,5963.03,165,0.17
faça,1006,1006.04,785.11,1271,1.28
prazer,1006,1006.04,643.21,1552,1.56
mundo,1006,1006.04,8149.96,120,0.12
apenas,1006,1006.04,8496.18,115,0.12
zona,1006,1006.04,852.73,1170,1.18
Troco,1006,1006.04,15.95,62700,63.08
mensagem,1006,1006.04,496.6,1216,2.03
quando,1006,1006.04,13568.52,71,0.07
antigo,1006,1006.04,439.23,1542,2.29
falar,1006,1006.04,168.84,409,5.96
esporádico,1006,1006.04,12.98,77046,77.51
Algum,1006,1006.04,54.1,18483,18.6
professor,1006,1006.04,1253.6,795,0.8
marcar,1006,1006.04,316.99,3648,3.17
durante,1006,1006.04,1144.56,151,0.88
figura,1006,1006.04,235.81,2030,4.27
surgir,1006,1006.04,149.75,5402,6.72
ensino,1006,1006.04,1650.98,603,0.61
secundário,1006,1006.04,125.48,7967,8.02
foi,1006,1006.04,2884.34,35,0.35
aí,1006,1006.04,1488.76,669,0.68
sentir,1006,1006.04,253.38,1161,3.97
influência,1006,1006.04,519.29,1923,1.94
irmão,1006,1006.04,518.48,1554,1.94
obediente,1006,1006.04,31.21,32036,32.23
respeitadora,1006,1006.04,6.86,145722,146.6
dois,1006,1006.04,5564.83,127,0.18
irmã,1006,1006.04,153.26,2442,6.56
próximo,1006,1006.04,1160.5,430,0.87
oito,1006,1006.04,722.7,1381,1.39
der,1006,1006.04,72.01,5314,13.97
nem,1006,1006.04,5473.45,180,0.18
social,1006,1006.04,3137.75,316,0.32
agora,1006,1006.04,5109.86,193,0.2
tradição,1006,1006.04,460.47,2169,2.18
exemplo,1006,1006.04,4334.63,228,0.23
primeiro,1006,1006.04,6422.61,153,0.16
fim,1006,1006.04,4189.36,236,0.24
semana,1006,1006.04,3463.8,286,0.29
costumar,1006,1006.04,10.45,127003,96.24
praia,1006,1006.04,837.03,1192,1.2
passeio,1006,1006.04,424.86,2351,2.37
tempo,1006,1006.04,11402.51,85,0.09
deixar,1006,1006.04,14.03,441,71.72
manter,1006,1006.04,33.07,632,30.42
:,1006,1006.04,33670.03,27,0.03
sábado,1006,1006.04,129.51,897,7.77
jantar,1006,1006.04,13.28,2043,75.73
quase,1006,1006.04,3271.18,303,0.31
pizza,1006,1006.04,111.9,8934,8.99
ritual,1006,1006.04,120.28,8311,8.36
simples,1006,1006.04,2697.6,368,0.37
época,1006,1006.04,2111.04,471,0.48
particularmente,1006,1006.04,278.65,3586,3.61
Páscoa,1006,1006.04,151.66,6591,6.63
importante,1006,1006.04,4103.41,241,0.25
visitar,1006,1006.04,41.01,2122,24.53
várias,1006,1006.04,2633.66,377,0.38
maratona,1006,1006.04,89.3,11196,11.27
cansativo,1006,1006.04,55.98,17861,17.97
feliz,1006,1006.04,1047.45,952,0.96
união,1006,1006.04,346.9,2880,2.9
alegria,1006,1006.04,662.38,1507,1.52
cada,1006,1006.04,9372.07,104,0.11
passar,1006,1006.04,1458.36,531,0.69
tornar,1006,1006.04,251.72,1153,4.0
novo,1006,1006.04,2165.91,176,0.46
membro,1006,1006.04,1110.25,1744,0.91
família,1006,1006.04,3763.64,263,0.27
qual,1006,1006.04,417.41,123,2.41
esperado,1006,1006.04,242.91,4114,4.14
Verão,1006,1006.04,261.19,3826,3.85
poder,1006,1006.04,531.72,275,1.89
festa,1006,1006.04,450.92,827,2.23
grande,1006,1006.04,3070.31,116,0.33
planear,1006,1006.04,37.41,26726,26.89
tudo,1006,1006.04,8952.55,109,0.11
centro,1006,1006.04,1570.6,634,0.64
atenção,1006,1006.04,74.98,523,13.42
(,1006,1006.04,46082.95,19,0.02
riso,1006,1006.04,105.6,15861,9.53
),1006,1006.04,50761.42,17,0.02
gostaria,1006,1006.04,8.56,1459,117.49
partilhar,1006,1006.04,147.7,6768,6.81
Lembro-me,1006,1006.04,59.96,16674,16.78
7,1006,1006.04,2520.8,394,0.4
Fizemos,1006,1006.04,82.5,12118,12.19
piquenique,1006,1006.04,40.77,24523,24.67
junto,1006,1006.04,1981.38,502,0.51
rio,1006,1006.04,797.64,1251,1.26
nadar,1006,1006.04,1.0,13601,1006.04
ofereceu-me,1006,1006.04,8.81,113490,114.18
diário,1006,1006.04,280.84,3558,3.58
recebi,1006,1006.04,185.85,5378,5.41
ramo,1006,1006.04,311.07,3212,3.23
rosa,1006,1006.04,87.96,3751,11.44
vermelho,1006,1006.04,111.15,2119,9.05
namorado,1006,1006.04,267.04,3742,3.77
esquecer,1006,1006.04,21.07,3301,47.74
